course_id,course_name,level,fees,currency,duration_years,semesters,intake,credits,description,image
MST-MST-IN-CLI,MASTER OF CLINICAL PSYCHOLOGY,Master,77554,MYR,,,,,,
MST-MST-IN-COU,MASTER OF COUNSELLING,Master,62454,MYR,,,,,,
PHD-PHD-IN-SOC,DOCTOR OF PHILOSOPHY IN SOCIAL SCIENCES (RESEARCH),PhD,68944,MYR,,,,,,
PHD-PHD-IN-SOC-1,DOCTOR OF PHILOSOPHY IN SOCIAL SCIENCES (RESEARCH) (PRIOR PUBLICATION),PhD,49562,MYR,,,,,,
MST-MST-IN-MED,MASTER OF SCIENCE IN MEDICAL SCIENCE (RESEARCH),Master,50694,MYR,,,,,,
PHD-PHD-IN-MED-2,DOCTOR OF PHILOSOPHY IN MEDICAL SCIENCE (RESEARCH),PhD,68944,MYR,,,,,,
PHD-PHD-IN-MED-3,DOCTOR OF PHILOSOPHY IN MEDICAL SCIENCE (RESEARCH) (PRIOR PUBLICATION),PhD,49562,MYR,,,,,,
MST-MST-IN-PHA,MASTER OF PHILOSOPHY IN PHARMACEUTICAL SCIENCE (RESEARCH),Master,50694,MYR,,,,,,
MST-MST-IN-PHA-1,MASTER OF PHILOSOPHY IN PHARMACY (RESEARCH),Master,50694,MYR,,,,,,
PHD-PHD-IN-PHA,DOCTOR OF PHILOSOPHY IN PHARMACEUTICAL SCIENCE (RESEARCH),PhD,68944,MYR,,,,,,
PHD-PHD-IN-PHA-1,DOCTOR OF PHILOSOPHY IN PHARMACEUTICAL SCIENCE (RESEARCH) (PRIOR PUBLICATION),PhD,49562,MYR,,,,,,
